item_id,name,category,subcategory,color,secondary_color,style,occasion,season,formality,pattern,material,price,gender,comfort_score,versatility_score,popularity_score,trend_score,image_placeholder
TOP_032,Sky Blue Peter Pan Collar Top,top,blouse,navy,forest_green,athleisure,travel|semi_formal,all|winter,2,solid,georgette,2300,female,0.71,0.26,0.47,0.73,assets/top/TOP_032.svg
TOP_033,Sage Green Embroidered Kurti,top,blouse,burnt_orange,forest_green,semi_formal,travel|party|gym|date|office,summer|monsoon,2,block_print,knit,800,female,0.84,0.71,0.49,0.67,assets/top/TOP_033.svg
TOP_034,Burnt Orange Striped Crew Neck Tee,top,top,black,slate,festive,semi_formal|party|office|formal,summer,3,block_print,wool,800,unisex,0.8,0.51,0.91,0.59,assets/top/TOP_034.svg
TOP_035,Burnt Orange Wrap Blouse,top,t_shirt,charcoal,grey,streetwear,party|office|casual|formal|festive,summer,4,checks,synthetic_leather,1950,unisex,0.61,0.73,0.36,0.4,assets/top/TOP_035.svg
TOP_036,Sky Blue Sleeveless Linen Top,top,top,wine,coral,casual,date|beach|formal|festive|office,monsoon,2,stripes,chiffon,700,female,0.71,0.77,0.41,0.53,assets/top/TOP_036.svg
TOP_037,Burnt Orange Slim Fit Polo,top,top,forest_green,,preppy,formal|date|college|semi_formal,winter,4,checks,chiffon,1100,female,0.77,0.5,0.42,0.45,assets/top/TOP_037.svg
TOP_038,Cream Striped Crew Neck Tee,top,top,cream,navy,preppy,festive|formal|travel|date,monsoon|summer,4,stripes,leather,450,female,0.65,0.58,0.7,0.96,assets/top/TOP_038.svg
TOP_039,White Sheer Overlay Top,top,blouse,mustard,tan,indo_western,travel|date|formal|office|beach,all|winter,4,abstract,rayon,650,unisex,0.86,0.66,0.79,0.43,assets/top/TOP_039.svg
TOP_040,White Tube Top,top,kurti,rust,black,festive,formal|party|college|festive,winter,4,block_print,linen,2200,unisex,0.86,0.55,0.61,0.24,assets/top/TOP_040.svg
TOP_041,Beige Chiffon Blouse,top,blouse,sage_green,black,festive,college|casual|semi_formal|office|date,summer,1,embroidered,leather,1950,unisex,0.61,0.65,0.95,0.43,assets/top/TOP_041.svg
TOP_042,Charcoal Wrap Blouse,top,blouse,rust,indigo,formal,travel|office|festive|semi_formal|formal,monsoon|all,3,geometric,chiffon,600,female,0.72,0.71,0.71,1.0,assets/top/TOP_042.svg
TOP_043,Cream Cold Shoulder Top,top,kurti,cream,dusty_rose,semi_formal,party|travel|gym|festive,all,4,solid,synthetic_leather,1300,male,0.6,0.57,0.87,0.51,assets/top/TOP_043.svg
TOP_044,White Formal Oxford Shirt,top,shirt,rust,cream,casual,date|college,summer,4,embroidered,jersey,900,female,0.86,0.37,0.75,0.88,assets/top/TOP_044.svg
TOP_045,Dusty Rose Ribbed Knit Top,top,top,royal_blue,tan,minimalist,gym|college,summer|monsoon,1,stripes,synthetic_leather,1250,female,0.55,0.35,0.32,0.46,assets/top/TOP_045.svg
TOP_046,Lavender Tank Top,top,t_shirt,wine,blush,formal,semi_formal|travel|festive,all,2,tie_dye,suede,1000,female,0.65,0.47,0.46,0.71,assets/top/TOP_046.svg
TOP_047,Tan Oversized Cotton T-Shirt,top,kurti,cream,lavender,preppy,beach|travel|office|college,all|winter,4,floral,leather,1500,female,0.64,0.51,0.57,0.49,assets/top/TOP_047.svg
TOP_048,Burnt Orange Oversized Cotton T-Shirt,top,blouse,burnt_orange,,semi_formal,casual|gym|beach|date,monsoon,2,checks,canvas,1750,unisex,0.72,0.56,0.52,0.55,assets/top/TOP_048.svg
TOP_049,Slate Formal Oxford Shirt,top,top,beige,,festive,party|festive|office|semi_formal,monsoon,3,embroidered,linen,1800,female,0.87,0.53,0.38,0.97,assets/top/TOP_049.svg
TOP_050,Tan V-Neck Tunic,top,shirt,sage_green,grey,indo_western,college|festive|casual|formal,monsoon|summer,3,floral,canvas,1800,male,0.63,0.58,0.69,0.93,assets/top/TOP_050.svg
TOP_051,Navy Ribbed Knit Top,top,shirt,white,navy,minimalist,beach|festive|college|office,winter,1,block_print,leather,2300,unisex,0.59,0.63,0.96,0.76,assets/top/TOP_051.svg
TOP_052,Wine V-Neck Tunic,top,top,white,slate,bohemian,beach|college|date|festive|office,winter|all,4,stripes,silk,1200,female,0.8,0.73,0.55,0.52,assets/top/TOP_052.svg
TOP_053,Cream Linen Button-Down Shirt,top,shirt,royal_blue,beige,preppy,casual|party,winter,1,floral,wool,1150,male,0.81,0.3,0.72,0.42,assets/top/TOP_053.svg
TOP_054,Sage Green Denim Shirt,top,shirt,beige,black,bohemian,beach|casual,winter,3,geometric,rayon,1250,male,0.78,0.26,0.38,0.25,assets/top/TOP_054.svg
TOP_055,Rust Halter Neck Top,top,kurti,coral,black,casual,travel|semi_formal|casual|formal|gym,summer|winter,4,embroidered,denim,2250,female,0.76,0.74,0.4,0.3,assets/top/TOP_055.svg
TOP_056,Wine Cold Shoulder Top,top,top,sky_blue,mustard,streetwear,gym|travel|formal|date|beach,all|summer,2,animal_print,jersey,750,unisex,0.91,0.67,0.81,0.45,assets/top/TOP_056.svg
TOP_057,Forest Green Tank Top,top,blouse,grey,indigo,bohemian,college|beach|gym|travel|semi_formal,summer|winter,1,abstract,silk,850,unisex,0.84,0.7,0.98,0.68,assets/top/TOP_057.svg
TOP_058,Wine Embroidered Kurti,top,blouse,grey,teal,festive,beach|date|semi_formal,winter|all,1,block_print,wool,1800,male,0.79,0.42,0.79,0.22,assets/top/TOP_058.svg
TOP_059,Indigo Chiffon Blouse,top,blouse,navy,olive,casual,casual|office|gym|festive,all|winter,2,abstract,jersey,650,unisex,0.87,0.65,0.84,0.65,assets/top/TOP_059.svg
TOP_060,Beige Casual Henley,top,t_shirt,tan,mustard,indo_western,formal|date,winter|monsoon,4,stripes,polyester,2100,male,0.69,0.25,0.77,0.59,assets/top/TOP_060.svg
TOP_061,Royal Blue Peplum Top,top,blouse,maroon,,formal,semi_formal|formal,summer|all,3,embroidered,polyester,1350,male,0.67,0.31,0.79,0.6,assets/top/TOP_061.svg
TOP_062,Teal V-Neck Tunic,top,blouse,mustard,sky_blue,athleisure,casual|date|college|party|formal,all,3,solid,polyester,2000,male,0.67,0.73,0.62,0.75,assets/top/TOP_062.svg
TOP_063,Mustard Striped Crew Neck Tee,top,blouse,burnt_orange,indigo,bohemian,gym|festive|travel|college|semi_formal,summer,3,block_print,chiffon,1200,male,0.74,0.65,0.84,0.48,assets/top/TOP_063.svg
TOP_064,Grey Formal Oxford Shirt,top,shirt,indigo,,streetwear,office|gym|beach,all|monsoon,4,tie_dye,georgette,1000,male,0.77,0.42,0.41,0.25,assets/top/TOP_064.svg
TOP_065,Burnt Orange Denim Shirt,top,kurti,cream,white,casual,travel|college|formal|date,summer,3,tie_dye,polyester,1800,unisex,0.7,0.63,0.85,0.92,assets/top/TOP_065.svg
TOP_066,Coral Graphic Print Tee,top,kurti,dusty_rose,slate,streetwear,travel|office|casual|date|beach,winter,2,embroidered,jersey,2350,unisex,0.88,0.69,0.55,0.93,assets/top/TOP_066.svg
TOP_067,Indigo Crop Top,top,kurti,burnt_orange,forest_green,preppy,college|party|beach|festive,winter,3,abstract,polyester,900,female,0.75,0.57,0.57,0.68,assets/top/TOP_067.svg
TOP_068,Sage Green Peplum Top,top,t_shirt,coral,blush,athleisure,beach|travel|college,monsoon,3,geometric,jersey,2400,female,0.93,0.39,0.84,0.35,assets/top/TOP_068.svg
TOP_069,Navy Chiffon Blouse,top,shirt,indigo,sky_blue,formal,beach|party,winter,2,tie_dye,denim,1850,male,0.74,0.28,0.56,0.78,assets/top/TOP_069.svg
TOP_070,Burnt Orange Sheer Overlay Top,top,kurti,charcoal,maroon,bohemian,travel|semi_formal|formal,all|monsoon,4,block_print,leather,2100,unisex,0.65,0.44,0.86,0.31,assets/top/TOP_070.svg
TOP_071,Coral Wrap Blouse,top,blouse,burnt_orange,navy,formal,travel|college,all,4,stripes,knit,1400,male,0.9,0.36,0.95,0.53,assets/top/TOP_071.svg
TOP_072,Lavender Mandarin Collar Kurta,top,kurti,black,lavender,streetwear,party|semi_formal,summer,2,geometric,canvas,1650,unisex,0.7,0.24,0.79,0.56,assets/top/TOP_072.svg
TOP_073,Black Denim Shirt,top,t_shirt,mustard,grey,minimalist,travel|gym|beach,summer,3,floral,wool,1250,male,0.79,0.52,0.34,0.87,assets/top/TOP_073.svg
TOP_074,Sage Green Oversized Cotton T-Shirt,top,kurti,sky_blue,lavender,semi_formal,formal|festive|casual,monsoon,2,stripes,chiffon,2000,unisex,0.73,0.41,0.74,0.98,assets/top/TOP_074.svg
TOP_075,Black Tank Top,top,blouse,white,teal,festive,semi_formal|college|party|office,all|monsoon,2,checks,linen,1700,unisex,0.81,0.57,0.62,0.43,assets/top/TOP_075.svg
TOP_076,White Crop Top,top,t_shirt,coral,maroon,minimalist,travel|date|formal|casual|festive,monsoon|summer,1,abstract,velvet,1750,male,0.8,0.81,0.93,0.51,assets/top/TOP_076.svg
TOP_077,Blush Wrap Blouse,top,shirt,sky_blue,olive,festive,college|festive|beach|gym,summer,3,abstract,knit,1500,female,0.85,0.56,0.6,0.75,assets/top/TOP_077.svg
TOP_078,White V-Neck Tunic,top,blouse,rust,,formal,formal|casual|college|festive|office,summer|all,2,stripes,knit,450,female,0.9,0.72,0.57,0.65,assets/top/TOP_078.svg
TOP_079,Tan Tube Top,top,top,teal,dusty_rose,minimalist,date|college|office|party,winter,1,embroidered,knit,1300,male,0.91,0.61,0.84,0.76,assets/top/TOP_079.svg
TOP_080,Burnt Orange Peter Pan Collar Top,top,shirt,cream,olive,indo_western,college|office|beach,summer|monsoon,3,block_print,synthetic_leather,650,unisex,0.62,0.44,0.8,0.94,assets/top/TOP_080.svg
TOP_081,Rust Mandarin Collar Kurta,top,shirt,black,teal,festive,office|semi_formal|date,summer,4,stripes,denim,1800,female,0.71,0.43,0.64,0.53,assets/top/TOP_081.svg
TOP_082,Navy Formal Oxford Shirt,top,kurti,tan,rust,bohemian,date|beach,all,2,block_print,jersey,800,unisex,0.91,0.27,0.51,0.33,assets/top/TOP_082.svg
TOP_083,Rust Chiffon Blouse,top,shirt,coral,burnt_orange,preppy,semi_formal|travel|formal|office,winter,1,checks,linen,2500,female,0.88,0.55,0.88,0.22,assets/top/TOP_083.svg
TOP_084,Indigo Halter Neck Top,top,t_shirt,charcoal,tan,festive,gym|festive|casual,winter|monsoon,3,animal_print,georgette,1500,unisex,0.73,0.43,0.41,0.53,assets/top/TOP_084.svg
TOP_085,Dusty Rose Sleeveless Linen Top,top,kurti,indigo,lavender,festive,party|beach|festive|office,all,3,stripes,silk,750,male,0.79,0.51,0.34,0.96,assets/top/TOP_085.svg
TOP_086,Royal Blue Casual Henley,top,top,charcoal,burnt_orange,indo_western,semi_formal|office|date|travel,all|summer,1,floral,jersey,400,female,0.83,0.52,0.72,0.87,assets/top/TOP_086.svg
TOP_087,Sage Green Oversized Cotton T-Shirt,top,kurti,white,mustard,casual,office|formal|party|festive|beach,summer|winter,3,block_print,denim,1100,female,0.75,0.74,0.99,0.74,assets/top/TOP_087.svg
TOP_088,Grey Peplum Top,top,t_shirt,sky_blue,rust,athleisure,travel|party|office|semi_formal,summer,1,checks,knit,2350,male,0.9,0.55,0.4,0.91,assets/top/TOP_088.svg
TOP_089,Sky Blue Crop Top,top,shirt,wine,burnt_orange,indo_western,gym|formal|party|date|travel,summer|winter,3,tie_dye,rayon,350,female,0.85,0.7,0.78,0.22,assets/top/TOP_089.svg
TOP_090,Coral Sheer Overlay Top,top,kurti,olive,sage_green,preppy,gym|date,summer,2,tie_dye,chiffon,1850,female,0.71,0.27,0.59,0.53,assets/top/TOP_090.svg
TOP_091,Rust Sheer Overlay Top,top,shirt,maroon,wine,bohemian,office|travel,winter|all,4,block_print,synthetic_leather,2250,female,0.58,0.29,0.91,0.74,assets/top/TOP_091.svg
TOP_092,Charcoal Graphic Print Tee,top,blouse,indigo,burnt_orange,semi_formal,travel|formal|semi_formal|gym,monsoon|all,3,geometric,chiffon,2300,unisex,0.7,0.56,0.57,0.98,assets/top/TOP_092.svg
TOP_093,Burnt Orange Slim Fit Polo,top,blouse,coral,forest_green,indo_western,party|date,monsoon|summer,2,stripes,velvet,1200,male,0.73,0.29,0.67,0.71,assets/top/TOP_093.svg
TOP_094,Mustard Crop Top,top,t_shirt,black,wine,formal,beach|office,winter|all,4,abstract,synthetic_leather,1950,male,0.59,0.36,0.36,0.66,assets/top/TOP_094.svg
TOP_095,Slate Slim Fit Polo,top,top,slate,burnt_orange,casual,office|casual|festive|date|college,monsoon,3,geometric,rayon,350,unisex,0.87,0.77,0.65,0.95,assets/top/TOP_095.svg
TOP_096,Forest Green Graphic Print Tee,top,top,black,indigo,bohemian,office|date|formal|beach,all,2,animal_print,denim,1500,female,0.68,0.56,0.43,0.31,assets/top/TOP_096.svg
TOP_097,Black Denim Shirt,top,blouse,burnt_orange,sky_blue,preppy,date|formal|party,winter|summer,3,stripes,canvas,350,male,0.66,0.4,0.65,0.92,assets/top/TOP_097.svg
TOP_098,Grey Ribbed Knit Top,top,blouse,charcoal,beige,indo_western,gym|semi_formal|beach|office,winter|summer,4,tie_dye,velvet,1850,unisex,0.76,0.55,0.55,0.93,assets/top/TOP_098.svg
TOP_099,Sage Green Embroidered Kurti,top,t_shirt,cream,grey,semi_formal,office|party|travel,summer|winter,1,checks,wool,2300,male,0.78,0.36,0.62,0.85,assets/top/TOP_099.svg
TOP_100,Forest Green Oversized Cotton T-Shirt,top,t_shirt,lavender,slate,streetwear,casual|festive,summer|winter,1,animal_print,wool,550,female,0.81,0.3,0.98,0.72,assets/top/TOP_100.svg
BOT_001,Teal A-Line Skirt,bottom,shorts,olive,wine,athleisure,college|travel|office|party|casual,summer,2,solid,canvas,2550,female,0.68,0.7,0.6,0.5,assets/bottom/BOT_001.svg
BOT_002,Cream Midi Skirt,bottom,trousers,sky_blue,,casual,semi_formal|college|casual|festive,summer,2,tie_dye,silk,1400,male,0.79,0.64,0.91,0.4,assets/bottom/BOT_002.svg
BOT_003,Cream Mom Jeans,bottom,jeans,burnt_orange,royal_blue,preppy,office|travel,winter|all,5,checks,wool,1700,female,0.77,0.25,0.69,0.67,assets/bottom/BOT_003.svg
BOT_004,Tan Pencil Skirt,bottom,trousers,rust,dusty_rose,athleisure,party|festive,all|summer,2,block_print,synthetic_leather,2050,unisex,0.55,0.25,0.9,0.32,assets/bottom/BOT_004.svg
BOT_005,Sage Green Pencil Skirt,bottom,shorts,maroon,lavender,streetwear,festive|semi_formal|formal,winter,3,solid,suede,2250,male,0.64,0.42,0.33,0.26,assets/bottom/BOT_005.svg
BOT_006,Tan Bermuda Shorts,bottom,pants,maroon,indigo,streetwear,semi_formal|party|formal|casual|college,all,2,floral,wool,2350,unisex,0.81,0.67,0.67,0.49,assets/bottom/BOT_006.svg
BOT_007,Rust Wrap Skirt,bottom,skirt,maroon,teal,bohemian,date|party,winter,1,solid,leather,2100,female,0.61,0.28,0.8,0.44,assets/bottom/BOT_007.svg
BOT_008,Royal Blue Maxi Skirt,bottom,trousers,coral,indigo,indo_western,travel|party|formal|date|gym,winter|summer,2,block_print,chiffon,2300,female,0.71,0.72,0.99,0.97,assets/bottom/BOT_008.svg
BOT_009,Navy Tapered Trousers,bottom,pants,coral,royal_blue,streetwear,festive|office,all,1,abstract,polyester,1000,male,0.71,0.29,0.73,0.59,assets/bottom/BOT_009.svg
BOT_010,Black Bermuda Shorts,bottom,shorts,slate,forest_green,festive,casual|travel,winter|summer,1,stripes,suede,1550,male,0.62,0.28,0.48,0.48,assets/bottom/BOT_010.svg
BOT_011,Lavender Maxi Skirt,bottom,shorts,coral,tan,casual,semi_formal|formal|college,all|monsoon,4,embroidered,leather,800,male,0.61,0.51,0.36,0.88,assets/bottom/BOT_011.svg
BOT_012,Grey Denim Shorts,bottom,skirt,forest_green,white,streetwear,semi_formal|gym|date,winter,5,abstract,polyester,1550,unisex,0.75,0.42,0.83,0.77,assets/bottom/BOT_012.svg
BOT_013,Burnt Orange Jogger Pants,bottom,shorts,slate,beige,streetwear,beach|travel|party|festive|date,summer,3,animal_print,chiffon,2450,male,0.77,0.67,0.84,0.96,assets/bottom/BOT_013.svg
BOT_014,Black Wide Leg Trousers,bottom,shorts,olive,blush,preppy,date|semi_formal|party|festive|gym,winter|monsoon,1,stripes,georgette,1950,female,0.71,0.67,0.85,0.32,assets/bottom/BOT_014.svg
BOT_015,Lavender Pleated Formal Trousers,bottom,shorts,lavender,,minimalist,formal|date,winter,2,animal_print,linen,800,female,0.86,0.37,0.37,0.27,assets/bottom/BOT_015.svg
BOT_016,Sky Blue Culottes,bottom,pants,navy,indigo,festive,casual|formal|festive|travel|date,all,5,checks,jersey,1400,male,0.86,0.66,0.4,0.33,assets/bottom/BOT_016.svg
BOT_017,Burnt Orange Wrap Skirt,bottom,skirt,cream,grey,formal,formal|semi_formal|date|gym,monsoon|all,1,animal_print,linen,1650,female,0.84,0.59,0.88,0.72,assets/bottom/BOT_017.svg
BOT_018,Burnt Orange Mini Skirt,bottom,pants,slate,blush,indo_western,party|office|festive|beach|gym,all|winter,2,animal_print,wool,2750,male,0.74,0.69,0.71,0.64,assets/bottom/BOT_018.svg
BOT_019,Slate A-Line Skirt,bottom,pants,coral,burnt_orange,semi_formal,formal|college|festive|date|gym,all|summer,2,embroidered,wool,1450,male,0.79,0.69,0.95,0.9,assets/bottom/BOT_019.svg
BOT_020,White Midi Skirt,bottom,shorts,olive,tan,preppy,semi_formal|party,monsoon|winter,5,stripes,linen,600,unisex,0.81,0.24,0.82,0.65,assets/bottom/BOT_020.svg
BOT_021,Cream Midi Skirt,bottom,pants,black,rust,streetwear,beach|gym|travel|office|date,summer,4,checks,canvas,1600,male,0.66,0.68,0.44,0.59,assets/bottom/BOT_021.svg
BOT_022,Cream Pleated Midi Skirt,bottom,shorts,black,lavender,streetwear,college|formal|casual|beach,winter,2,abstract,leather,1050,male,0.65,0.52,0.58,0.35,assets/bottom/BOT_022.svg
BOT_023,Black Pleated Midi Skirt,bottom,shorts,maroon,royal_blue,minimalist,gym|festive|beach|casual|party,winter,5,abstract,wool,650,female,0.75,0.74,0.77,0.59,assets/bottom/BOT_023.svg
BOT_024,Teal Culottes,bottom,skirt,cream,coral,formal,party|beach,winter,5,abstract,canvas,1600,unisex,0.65,0.28,0.56,0.31,assets/bottom/BOT_024.svg
BOT_025,Sky Blue Cargo Pants,bottom,shorts,olive,rust,minimalist,office|date|travel|beach|formal,all|monsoon,2,solid,canvas,950,female,0.73,0.78,0.44,0.51,assets/bottom/BOT_025.svg
BOT_026,Coral Wrap Skirt,bottom,pants,wine,black,semi_formal,festive|date|gym|office|casual,winter|monsoon,1,geometric,suede,1600,unisex,0.68,0.69,0.84,0.6,assets/bottom/BOT_026.svg
BOT_027,Wine Pleated Formal Trousers,bottom,pants,mustard,grey,semi_formal,travel|casual|date|semi_formal,monsoon|winter,1,stripes,georgette,1600,male,0.77,0.51,0.87,0.37,assets/bottom/BOT_027.svg
BOT_028,Lavender Paper Bag Waist Pants,bottom,pants,maroon,,casual,gym|office|semi_formal,winter|all,3,geometric,suede,2750,unisex,0.66,0.53,0.66,0.92,assets/bottom/BOT_028.svg
BOT_029,Indigo Pencil Skirt,bottom,jeans,beige,slate,bohemian,beach|office|gym|semi_formal,winter|monsoon,4,geometric,polyester,1400,male,0.69,0.5,0.86,0.82,assets/bottom/BOT_029.svg
BOT_030,Slate Straight-Leg Trousers,bottom,shorts,cream,tan,bohemian,date|party|casual|college|gym,winter|all,5,floral,knit,650,unisex,0.85,0.71,0.54,0.66,assets/bottom/BOT_030.svg
BOT_031,Dusty Rose Tapered Trousers,bottom,pants,black,beige,formal,college|date,all,4,floral,polyester,2200,female,0.74,0.3,0.91,0.9,assets/bottom/BOT_031.svg
BOT_032,Lavender Straight-Leg Trousers,bottom,jeans,coral,burnt_orange,semi_formal,beach|office|casual|festive,summer,1,floral,linen,2150,unisex,0.81,0.55,0.66,0.56,assets/bottom/BOT_032.svg
BOT_033,Dusty Rose Pleated Formal Trousers,bottom,jeans,teal,navy,streetwear,date|college|semi_formal,monsoon|summer,3,animal_print,suede,800,unisex,0.66,0.43,0.35,0.65,assets/bottom/BOT_033.svg
BOT_034,Olive A-Line Skirt,bottom,pants,sky_blue,blush,indo_western,beach|office|festive,winter,1,stripes,knit,1300,unisex,0.86,0.4,0.85,0.4,assets/bottom/BOT_034.svg
BOT_035,Sage Green Culottes,bottom,jeans,maroon,sage_green,preppy,beach|formal,monsoon|all,2,solid,velvet,2500,male,0.76,0.23,0.65,0.68,assets/bottom/BOT_035.svg
BOT_036,Lavender Mini Skirt,bottom,pants,charcoal,,streetwear,gym|festive|party|office|beach,summer,5,geometric,silk,450,male,0.75,0.64,0.85,0.61,assets/bottom/BOT_036.svg
BOT_037,Mustard Paper Bag Waist Pants,bottom,pants,sage_green,coral,formal,beach|travel,summer|monsoon,1,floral,canvas,1550,female,0.68,0.31,0.74,0.87,assets/bottom/BOT_037.svg
BOT_038,Blush Pencil Skirt,bottom,jeans,mustard,grey,indo_western,semi_formal|college,monsoon,5,checks,chiffon,2900,female,0.69,0.24,0.31,0.6,assets/bottom/BOT_038.svg
BOT_039,Rust Pleated Midi Skirt,bottom,skirt,slate,grey,casual,party|office|formal,summer|winter,4,tie_dye,georgette,1750,unisex,0.73,0.49,0.34,0.89,assets/bottom/BOT_039.svg
